"state","average_spending","topspender_share","correlation_coef"
"AL","585815.8308333332","0.9741618670264737","0.9281972387107799"
"AK","331104.335","0.9890291378999916","0.5"
"AZ","1657145.4345","0.8249769488717661","0.890099415029589"
"AR","783682.3928571428","0.8898018588010947","0.9226260598202964"
"CA","1194660.4912999999","0.8189530996346954","0.756571315151326"
"CO","1229506.5005263158","0.712907830498225","0.8847261509127965"
"CT","4000000","0.8112878289108004","0.5534772550213407"
"DE","1033758.434","0.8157196950462211","0.9138095573706341"
"FL","1490049.214666667","0.8371723015647141","0.8428853291647502"
"GA","598125.7864000001","0.9352467841750572","0.911842651693001"
"HI","2972033.1520000002","0.6880242668906295","0.8268013969393319"
"ID","341716.17666666664","0.9392289915946153","0.5"
"IL","1196491.7600000002","0.8198686134713263","0.8881019260289251"
"IN","1160318.0130434781","0.8000246356550742","0.8752825335604775"
"IA","2021968.4812500002","0.7050817650729264","0.6691410494903223"
"KS","455959.2428571428","0.9648846458817486","0.8553231910123638"
"KY","775297.269","0.8869760304333201","0.5"
"LA","946558.8391666667","0.9408614104921278","0.9673047670966936"
"ME","795968.7811111112","0.7173917752734861","0.9391699943122145"
"MD","1242081.4247826086","0.8160296451978234","0.903602707930447"
"MA","4000000","0.8492078984495116","0.9464332209114508"
"MI","1427418.1366666665","0.8685430659345493","0.8227976526298061"
"MN","2270113.5022222223","0.8003639595007017","0.8036690071380679"
"MS","651825.1029999999","0.9692971528826743","0.9188949490426302"
"MO","2133523.95","0.8830862293642756","0.9482927648732812"
"MT","4000000","0.6245121648534967","0.9825697630224876"
"NE","1803714.31","0.8461018945199574","0.8218382200000173"
"NV","2953254.9590000003","0.7237196205219085","0.8863837461373685"
"NH","2129269.075","0.5549323913368522","0.7754197717955897"
"NJ","1445228.4796153845","0.8564759190877355","0.7698628460896461"
"NM","2252810.28875","0.7734236449251545","0.8858323862138936"
"NY","1275349.4258333333","0.5","0.5"
"NC","809652.2749999999","0.805792829763277","0.7738828984816664"
"ND","3484315.6550000003","0.5464309899488772","0.7779846903897225"
"OH","2373012.2965625003","0.8357887113309658","0.8500586699778445"
"OK","658648.4630000001","0.8117588880251173","0.967796311810828"
"OR","848103.326","0.8894243032177176","0.876525742812189"
"PA","1514233.2480487807","0.8276896615935749","0.8453440005126789"
"RI","1949717.0899999999","0.614656569988461","0.8518898945977511"
"SC","484299.9416666667","0.9192674851181104","0.8197312949465978"
"SD","1580396.98","0.7157292182373064","0.5"
"TN","858585.9","0.9022927739869221","0.873002093116837"
"TX","759688.3837142856","0.9348184170566554","0.894953487955247"
"UT","1747879.1554545455","0.7667789592907244","0.8882771313120784"
"VT","1213787.1300000001","0.9755206340496576","0.9996075802848838"
"VA","2084213.51","0.762078464849265","0.8694688915962129"
"WA","1410037.018181818","0.8685914684161609","0.8976038758630936"
"WV","1123382.26","0.8037432485942889","0.9512391301941703"
"WI","2506449.528333334","0.8296112876338856","0.9000692160600459"
"WY","1001596.09","0.9992853772485464","0.9966395828155946"
"NA","1507678.36631579","0.8089330890323908","0.816125554332758"
